date_time,open,high,low,close,CCI
2017-03-01 11:15,23773.93,23792.12,23756.82,23788.45,-131.2550841844829
2017-03-01 12:15,23797.27,23808.89,23785.6,23808.89,-107.546847847372
2017-03-01 13:15,23807.93,23807.93,23730.84,23761.45,-123.97324372550443
2017-03-01 14:15,23759.09,23789.06,23748.5,23777.52,-112.601163739512
2017-03-01 15:15,23779.95,23809.58,23774.79,23776.49,-95.5035318500171
2017-03-02 09:15,24044.48,24080.87,23916.55,23938.26,52.55544340183272
2017-03-02 10:15,23938.62,23942.93,23820.51,23858.18,-24.001250807701144
2017-03-02 11:15,23858.98,23899.16,23856.65,23862.31,-21.002557809955604
2017-03-02 12:15,23865.78,23881.09,23835.34,23874.03,-25.544686439007318
2017-03-02 13:15,23875.35,23903.34,23847.53,23859.0,-15.926682171707467
2017-03-02 14:15,23859.0,23912.21,23810.11,23810.59,-35.97374360718076
2017-03-02 15:15,23815.06,23815.06,23694.33,23728.07,-124.35428307792442
2017-03-03 09:15,23618.36,23618.36,23515.24,23563.99,-259.5932704469954
2017-03-03 10:15,23565.62,23635.24,23559.01,23592.0,-205.54118581726914
2017-03-03 11:15,23592.22,23628.85,23577.11,23581.09,-180.8868566482924
2017-03-03 12:15,23582.57,23585.28,23552.7,23573.48,-181.29640604691141
2017-03-03 13:15,23575.36,23618.9,23564.52,23614.17,-148.1653862957219
2017-03-03 14:15,23614.4,23633.05,23554.86,23572.57,-145.0086058519721
2017-03-03 15:15,23570.35,23575.73,23511.6,23552.72,-156.39866264650377
2017-03-06 09:15,23600.49,23691.05,23581.1,23597.97,-96.35784314145502
2017-03-06 10:15,23600.81,23622.76,23574.28,23596.61,-102.5962610812048
2017-03-06 11:15,23595.9,23642.48,23589.96,23640.03,-78.88192470172588
2017-03-06 12:15,23639.97,23644.93,23617.44,23620.59,-70.28096523293802
2017-03-06 13:15,23621.06,23636.53,23603.66,23621.6,-68.4139086024193
2017-03-06 14:15,23621.08,23642.67,23597.54,23600.11,-67.13506106241061
2017-03-06 15:15,23603.57,23628.03,23588.51,23596.28,-67.56788375819873
2017-03-07 09:15,23630.35,23724.18,23585.77,23722.22,-20.823850830607807
2017-03-07 10:15,23723.22,23728.0,23652.95,23666.84,-16.205214970349445
2017-03-07 11:15,23665.71,23704.38,23647.22,23694.99,-14.556083534141505
2017-03-07 12:15,23695.81,23695.81,23668.29,23680.17,-13.180594057503512
2017-03-07 13:15,23679.4,23718.59,23677.14,23699.95,-0.27175814062793385
2017-03-07 14:15,23701.29,23707.0,23652.24,23664.8,-14.030290239373853
2017-03-07 15:15,23666.98,23684.92,23655.73,23681.07,-12.774165686993756
2017-03-08 09:15,23627.28,23691.62,23563.14,23658.42,-36.65193383447606
2017-03-08 10:15,23656.49,23766.61,23645.8,23748.68,27.165364235235625
2017-03-08 11:15,23748.68,23816.23,23747.93,23800.0,92.747898520282
2017-03-08 12:15,23797.51,23808.42,23760.37,23772.07,93.0904075076319
2017-03-08 13:15,23772.07,23782.3,23732.94,23744.03,76.71197094509341
2017-03-08 14:15,23744.02,23788.8,23732.11,23761.02,91.46101056815283
2017-03-08 15:15,23760.22,23793.9,23757.28,23782.27,116.78184004791788
2017-03-09 09:15,23667.77,23673.58,23498.4,23504.52,-105.08509953643691
2017-03-09 10:15,23505.78,23571.35,23503.86,23538.38,-120.37340536670533
2017-03-09 11:15,23538.02,23571.7,23537.24,23549.11,-103.14043493842647
2017-03-09 12:15,23548.23,23554.69,23521.25,23548.53,-110.5034666612816
2017-03-09 13:15,23547.81,23549.45,23482.04,23492.97,-137.08557648625566
2017-03-09 14:15,23495.64,23508.17,23456.06,23498.56,-149.67103493903605
2017-03-09 15:15,23498.19,23517.56,23480.65,23501.56,-128.90870191246734
2017-03-10 09:15,23534.98,23603.77,23500.65,23526.98,-84.8053930656679
2017-03-10 10:15,23525.66,23548.95,23461.48,23483.24,-123.00073810883089
2017-03-10 11:15,23483.24,23506.78,23438.86,23496.8,-126.52446373758116
2017-03-10 12:15,23504.29,23521.1,23492.39,23518.29,-95.32437608746972
2017-03-10 13:15,23516.44,23580.41,23501.15,23539.93,-66.18991009405373
2017-03-10 14:15,23547.54,23567.82,23524.62,23556.72,-55.36915349950576
2017-03-10 15:15,23556.72,23587.54,23548.69,23568.67,-38.8981384020221
2017-03-13 09:15,23643.3,23677.69,23567.93,23670.26,13.838047383738955
2017-03-13 10:15,23671.87,23793.46,23671.87,23777.85,89.28382458165288
2017-03-13 11:15,23780.69,23797.95,23765.69,23779.54,107.26055919421336
2017-03-13 12:15,23783.26,23842.37,23778.29,23828.25,123.49479988087525
2017-03-13 13:15,23829.07,23877.59,23812.13,23830.23,129.4362589911686
2017-03-13 14:15,23824.69,23866.35,23819.93,23853.77,123.25675109230792
2017-03-13 15:15,23853.43,23856.25,23816.57,23829.67,108.15331478156115
